what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1770106625122
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1770106625122
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1770106625122
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1770106625122
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1770106625126
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1770106625126
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1770106625126
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1770106625138
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1770106625138
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1770106625138
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1770106625139
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1770106625139
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1770106625139
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1770106625139
os,sysinfo,,,"win32",1770106625143
arch,sysinfo,,,"x86",1770106625143
ws,sysinfo,,,"win32",1770106625143
locale,sysinfo,,,"en_US",1770106625143
processors,sysinfo,,,"12",1770106625143
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1770106625143
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1770106625143
java.specification.name,sysinfo,,,"Java Platform API Specification",1770106625143
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1770106625143
java.specification.version,sysinfo,,,"1.6",1770106625143
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1770106625143
java.version,sysinfo,,,"1.6.0_23",1770106625143
java.vm.info,sysinfo,,,"mixed mode",1770106625143
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1770106625143
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1770106625143
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1770106625143
java.vm.specification.version,sysinfo,,,"1.0",1770106625143
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1770106625143
java.vm.version,sysinfo,,,"19.0-b09",1770106625143
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1770106627824
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1770106628086
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1770106633937
opened,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1770106634223
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1770106634306
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1770106634320
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1770106634353
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1770106634378
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1770106636038
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1770106636124
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1770106639848
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1770106639929
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1770106639930
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1770106639930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106639998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106670213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106679464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106681141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106686314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106688718
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1770106689549
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1770106692077
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1770106692081
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1770106693771
error,log,,,"Unable to validate connection settings.",1770106703934
error,log,,,"Unable to validate connection settings.",1770106703937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106704006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106706471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106709615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106764681
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1770106777693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106778339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106822957
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1770106825542
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1770106826302
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1770106826323
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1770106826494
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1770106829168
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1770106833403
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1770106859066
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1770106861686
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/ET5/SoCTP/version5/SoC/software/cpt_sol/cpt_sol.elf] return code: 4, 'other error'",1770106865778
error,log,,,"Downloading ELF Process failed",1770106865778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106865812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106870849
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1770106878259
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1770106878979
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1770106882120
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/ET5/SoCTP/version5/SoC/software/cpt_sol/cpt_sol.elf] return code: 4, 'other error'",1770106886507
error,log,,,"Downloading ELF Process failed",1770106886507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106886557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106889624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106894372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106902405
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1770106905982
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1770106906670
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1770106909811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770106913015
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/ET5/SoCTP/version5/SoC/software/cpt_sol/cpt_sol.elf] return code: 4, 'other error'",1770106914517
error,log,,,"Downloading ELF Process failed",1770106914520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770107059269
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1770107064296
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1770107064967
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1770107068015
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/ET5/SoCTP/version5/SoC/software/cpt_sol/cpt_sol.elf] return code: 4, 'other error'",1770107072726
error,log,,,"Downloading ELF Process failed",1770107072729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770107072772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1770107076745
